,train 1 mse,val mse,train 2 mse,test mse,test R^2,delta train 1 and val,delta train 2 and test,training 1 time (s),train 1 prediction time (s),val prediction time (s),training 2 time (s),train 2 prediction time (s),test prediction time (s),# params,Complexity
xgb,0.0005863148899480607,0.0008989828936663058,0.0006249827435099719,0.0008206731698346167,0.9787845127435597,0.0003126680037182451,0.00019569042632464485,0.2266228199005127,0.0071697235107421875,0.002776622772216797,0.2947840690612793,0.008527278900146484,0.001977205276489258,,"(10, 10)"
rfr,0.0005988534111496913,0.000882691833377502,0.0006267972562472682,0.0008360175599487567,0.9783878399572543,0.0002838384222278107,0.00020922030370148852,0.3175837993621826,0.1057276725769043,0.10467696189880371,0.31613731384277344,0.10620331764221191,0.10480117797851562,,"(10, 10)"
dt3,0.0006820989435512862,0.0013073900262185142,0.0007178326573494086,0.0010741259943541756,0.972232421891379,0.000625291082667228,0.000356293337004767,0.19391822814941406,0.002634763717651367,0.0010714530944824219,0.2582235336303711,0.0035698413848876953,0.0010635852813720703,,10
etr,0.0010520927528039257,0.0011634094663556336,0.0010786506865811504,0.0010938554832323692,0.9717223885001867,0.00011131671355170793,1.5204796651218733e-05,0.11490392684936523,0.10549330711364746,0.10493111610412598,0.11390948295593262,0.10521674156188965,0.10437846183776855,,"(10, 10)"
dt2,0.0010777627393104695,0.0013482352021272868,0.0010824201927874,0.001193144123811758,0.9691556457743999,0.0002704724628168173,0.00011072393102435816,0.15816187858581543,0.002184152603149414,0.0009212493896484375,0.21017837524414062,0.002908945083618164,0.0009279251098632812,,8
rnn,0.0010698356200009584,0.0009914140682667494,0.0010502076474949718,0.0012052179081365466,,7.842155173420906e-05,0.00015501026064157486,200.13706469535828,0.6352400779724121,0.09269022941589355,236.59721422195435,0.21616172790527344,0.08735513687133789,1001.0,
lstm,0.0013221075059846044,0.0011191359953954816,0.0012713420437648892,0.0013202944537624717,,0.00020297151058912277,4.8952409997582436e-05,153.39407205581665,0.6858100891113281,0.12550878524780273,4.562853097915649,0.3415873050689697,0.12256956100463867,6836.0,
dnn,0.0014385408721864223,0.0012358195381239057,0.0013878350146114826,0.0013844575732946396,,0.0002027213340625167,3.377441316843033e-06,18.91553544998169,0.2439124584197998,0.08895397186279297,24.59668207168579,0.2260303497314453,0.08818411827087402,385.0,
dt1,0.0,0.0018072128123376825,0.0,0.0017723212480581709,0.9541831508149904,0.0018072128123376825,0.0017723212480581709,0.34270453453063965,0.005930185317993164,0.0019261837005615234,0.4375007152557373,0.00821685791015625,0.002104043960571289,,30
lr,0.0029114977555202842,0.0027018451873021014,0.002857526624208748,0.002614236614284628,0.932418524676697,0.00020965256821818285,0.00024329000992411986,0.010465621948242188,0.003045320510864258,0.0008637905120849609,0.0172727108001709,0.0011377334594726562,0.0006313323974609375,15.0,
naive_1h,0.003970631345064234,0.003772965960959014,,0.0037055212331798333,0.9041846818270545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
